Date,Type,Time,Piece,Goals,Sections,Tempos,AttemptsTotal,SuccessfulAttempts,UnsuccessfulAttempts,NeutralAttempts,Reflection,Session
2021-12-04,Run,600,Wilcoxon #52,None,"[38, 191]",151,16,3,6,6,"Pain occurring in left hand, stretch more",6
2021-12-04,Run,527,Wilcoxon #52,None,"[38, 191]",86,3,0,2,0,"Missed time signature multiple times, watch counting",6
2021-12-04,Activity,5393,Wilcoxon #52,Enjoy and relax,"[[0, 157], [0, 157], [38, 191], [38, 191]]","[40, 125, 151, 86]",57,15,21,8,"Whoops, I forgot to practice",6
2021-12-05,Run,375,Scales,None,"[233, 292]",110,2,1,0,0,I really should practice more,7
2021-12-05,Run,555,Scales,None,"[233, 292]",76,1,0,0,0,"This new section was difficult, map beforehand",7
2021-12-05,Run,449,Scales,None,"[233, 292]",72,1,0,0,0,This section felt good,7
2021-12-05,Run,378,Scales,None,"[161, 237]",136,1,0,0,0,"Missed time signature multiple times, watch counting",7
2021-12-05,Run,401,Scales,None,"[161, 237]",155,6,2,2,1,"Pain occurring in left hand, stretch more",7
2021-12-05,Run,194,Scales,None,"[161, 237]",145,2,0,0,1,Refrain from getting excited,7
2021-12-05,Activity,2352,Scales,Refine technique,"[[233, 292], [233, 292], [233, 292], [161, 237], [161, 237], [161, 237]]","[110, 76, 72, 136, 155, 145]",13,3,2,2,This piece felt good overall,7
2021-12-05,Run,424,Wilcoxon #52,None,"[118, 219]",108,9,1,3,4,"This new section was difficult, map beforehand",7
2021-12-05,Run,298,Wilcoxon #52,None,"[118, 219]",91,3,1,0,1,Refrain from getting excited,7
2021-12-05,Run,206,Wilcoxon #52,None,"[64, 66]",110,2,0,0,1,"This new section was difficult, map beforehand",7
2021-12-05,Run,300,Wilcoxon #52,None,"[64, 66]",138,4,1,1,1,"Missed time signature multiple times, watch counting",7
2021-12-05,Activity,3580,Wilcoxon #52,Have fun,"[[118, 219], [118, 219], [64, 66], [64, 66]]","[108, 91, 110, 138]",31,6,6,9,Watch the time signature changes throughout,7
2021-12-05,Run,374,Scales,None,"[164, 246]",158,4,1,2,0,I really should practice more,7
2021-12-05,Run,219,Scales,None,"[164, 246]",48,5,3,1,0,"Finally made progress, keep tempo up next time",7
2021-12-05,Activity,4173,Scales,Refine technique,"[[164, 246], [164, 246]]","[158, 48]",40,10,9,9,Watch the time signature changes throughout,7
2021-12-05,Run,253,Scales,None,"[114, 196]",68,2,0,0,1,"Finally made progress, keep tempo up next time",7
2021-12-05,Run,229,Scales,None,"[114, 196]",110,12,2,3,6,"This new section was difficult, map beforehand",7
2021-12-05,Activity,4655,Scales,Play through peice and map,"[[114, 196], [114, 196]]","[68, 110]",54,12,12,16,"These techniques are difficult, go back and count through entire piece",7
2021-12-06,Run,1.44,Strive (Trevino),None,"[90, 100]",110,0,0,0,0,1,8
2021-12-06,Activity,78.14,Strive (Trevino),These are goals that will appear for the entire activity,"[[90, 100]]",[110],0,0,0,0,Reflecting,8
2021-12-06,Run,17.12,Warming up,None,"[90, 110]",90,6,4,1,1,These are thoughts about this specific run,8
2021-12-06,Activity,82.34,Warming up,These are goals that will remind the user what they should accomplish,"[[90, 110]]","[90]",6,4,1,1,These are reflections about all of the practicing on this piece this time,8
